компьютер | махшЭв ‫מחשב| ‬
сложение | хибур | חיבור
вычитание | хисур | חיסור
умножение | кефель | כפל
деление | хилук | חילוק
остаток | шеэрит | שארית
равенство | шивьон | שוויון
неравенство | шеэйн шивьон | שאין שוויון
больше | гадоль | גדול
меньше | катан | קטן
больше или равно | гадоль о шаве | גדול או שווה
меньше или равно | катан о шаве | קטן או שווה
сумма | секум | סכום
деплоймент | приСа | פריסה
интеграция | интеграцИя | אינטגרציה
контейнер | мехолА | מכולה
виртуализация | виртуализацИя | וירטואליזציה
облако | анАн | ענן
оркестрация | тизмур | תזמור
мониторинг | нитур | ניטור
непрерывная интеграция | интеграцИя рецИфа | אינטגרציה רציפה
тестирование | бдика | בדיקה
автоматизация | автоматизацИя | אוטומציה
развёртывание | приСа | פריסה
CI/CD | CI/CD | רצף אינטגרציה והפצה
версия | гирсА | גרסה
репозиторий | махсан | מאגר
зависимость | тлуйот | תלות
среда разработки | сихва тихнУт | סביבת פיתוח
среда тестирования | сихва бдика | סביבת בדיקות
менеджер конфигураций | менахель тцура | מנהל תצורה
инфраструктура | таштит | תשתית
логирование | ришум | רישום
безопасность | битахон | אבטחת מידע
сервер | шарат | שרת
клиент | лакОах | לקוח
кластер | эшкОль | אשכול
отказоустойчивость | химунут | חסינות לתקלות
прокси | прокси | פרוקסי
балансировщик нагрузки | маврид омес | מאזני עומסים
аварийное восстановление | шихзур мАшбер | שחזור מאסון
эластичность | гмушут | גמישות
масштабируемость | мадрегИют | מדרגיות
миграция | хагИра | הגירה
конфигурация | тцура | תצורה
гибкость | гмушут | גמישות
отказоустойчивость | химунут | חסינות לתקלות
непрерывное развертывание | хафацА рецИфа | פריסה רציפה
база данных | маахсан натунИм | מסד נתונים
сеть | рЕшет | רשת
защита | hагана | הגנה
доступность | зманут | זמינות
мониторинг | нитур | ניטור
конфигурирование | тцура | תצורה
планировщик | метахнен | מתכנן
системный администратор | менахель маарахОт | מנהל מערכות
управление инцидентами | нИхуль ткирот | ניהול תקריות
управление конфигурациями | нИхуль тцура | ניהול תצורה
инструмент | клИ | כלי
разность | хефреш | הפרש
произведение | маасе | מעשה
частное | махлака | מחלקה
переменная | мештанне | משתנה
константа | матмад | מתמד
уравнение | мишват | משוואה
коэффициент | мекамут | מקמוט
функция | функция | פונקציה
интеграл | антеграль | אינטגרל
производная | нешпетет | נגזרת
логарифм | логаритм | לוגריתם
радиус | радиус | רדיוס
диаметр | кофеф | קוטר
окружность | махазор | מחזור
угол | зевет | זווית
площадь | шетах | שטח
объем | нефах | נפח
длина | орех | אורך
ширина | рохав | רוחב
высота | гова | גובה
единица | яхида | יחידה
ноль | эфес | אפס
бесконечность | эн соф | אין סוף
квадрат | ревуа | ריבוע
куб | кубия | קוביה
корень | шореш | שורש
степень | махтевет | חזקה
модуль | модуль | ערך מוחלט
вектор | вектор | וקטור
матрица | матриц | מטריצה
адрес  | ктОвэт | ‫כתובת‬
антивирусная программа | тохнАт анти вирус | תוכנת אנטי וירוס
API | мимшАк тихнУт исумИм
клиентское приложение | исУм лакоах | יישום לקוח
кнопки со стрелками | мАкаш хец | ‫מקש חץ‬
авторизация | аршаА | ‫הרשאה‬
цвет фона | цЭва рЭка | ‫צבע רקע‬
бэкап | гибУй | ‫גיבוי‬
звуковой сигнал, гудок | цифцУф | ‫צפצוף‬
емкость | кибОлет | ‫קיבולת‬
чип | джУк | швАв
команда | пкудА
ширина столбца | рОхав амудА | ‫רוחב עמודה‬запятая | псик | ‫פסיק‬
комментарий | эарА | ‫הערה‬
коммуникации | тикшОрет | תקשורת
линия связи | лекашЕр | לְקַשֵׁר
протокол связи | протокОл тикшОрет | פרוטוקול תקשורת
сеть | рЭшэт |‫רשת‬
настройки | агдарОт | ‫הגדרות‬
компонент | рэхИв | ‫רכיב‬
сжатие | дхисА | ‫דחיסה‬
Computer Science | мадаЭй амахшЭв | מדעי המחשב
конфигурация | тэцурА | ‫תצורה‬
соединен, подключен | мэхуБар | ‫מחובר‬
связь, соединение | хибУр | ‫חיבור‬
контент | тОхэн | ‫תוכן‬
контрольная панель | лУах бакарА | ‫לוח בקרה‬
копирайт, право обладания | зхут йоцрИм | ‫זכות יוצרים‬
курсор | самАн |‫סמן‬
вырезать | гзор | ‫גזור‬
вставить | адбЭк |‫הדבק‬
дата, данные | нетунИм | ‫נתונים‬
база данных | маагАр нетунИм | ‫מאגר נתונים‬
обработка данных | ибУд нетунИм | ‫עיבוד נתונים‬
дефолт | брерАт мехдАл | ‫ברירת מחדל‬удаление, стирание | мехикА | ‫מחיקה‬
дизайн | ицУв | ‫עיצוב‬
десктоп, рабочий стол | шульхАн аводА | ‫שולחן עבודה‬
цифра | сифрА | ‫סיפרה‬
документация | тийУд | ‫תיעוד‬
скачивание | орадА | ‫הורדה‬
документы | мисмахИм | ‫מסמכים‬
инструменты редактирования | клей арихА | ‫כלי עריכה‬
икомерс | сАхар электрОни | ‫סחר אלקטרוני‬
имэйл | дОар электрОни | ‫דואר אלקטרוני‬
инженер | меандЭс(-эт) | ‫מהנדס‬
ошибка, баг | шгиЯ | ‫שגיאה‬
событие | эрУа | ‫ארוע‬
лог, дневник событий | йомАн эрУа | ‫יומן ארוע‬
внешний жесткий диск | диск кашИах хицонИ | ‫דיסק קשיח חיצוני‬
поле | садЭ | ‫שדה‬
папка | тикиЯ | ‫תיקיה‬
шрифт | гофАн | ‫גופן‬
файл | кОвец | ‫קובץ‬
файловый сервер | шарАт квацИм | ‫שרת קבצים‬
плоский экран | масАх шатУах | ‫מסך שטוח‬
игра | мисхАк | ‫משחק‬
хардвэр | хомрА | ‫חומרה‬аппаратные требования | дришОт хомрА | ‫דרישות חומרה‬
иконка | цалмИт | ‫צלמית‬
информация | мэйдА | ‫מידע‬
информационная система | маарЭхэт мэйдА | ‫מערכת מידע‬
инфраструктура | таштИт | ‫תשתית‬
чернила | дьйО | ‫דיו‬
инсталляция, установка | атканА | ‫התקנה‬
интерфейс | мимшАк | ‫ממשק‬
интернет аккаунт | хешбОн Интернет | 
интернет провайдер | сапАк шерутЭй Интернет | ‫ספק שירותי אינטרנט‬
клавиша | макАш | מקש‬
разработка | питуах | פיתח 
вакансия | мисрА | משרה 
я отправил | игашти | הגשתי 
мне понравилось | аавти | אהבתי 
вакансии | мисрот | משרות 
кадидатура | муамадут | מועמדות 
для меня | авури | עבורי
конфиденциальный, частный | хасуй | חסןי
описание работы | тэур мисра | תיאור משרה
исключение | хариг | חריג
кадровое агентство | сохнут гиюс | סוכנות גיוס
класс | клаа́с | כלאס  
объект | объект | אובייקט  
метод | шитА | שיטה  
переменная | мештанЕ | משתנה  
константа | квуА | קבועה  
интерфейс | мимшАк | ממשק  
наследование | йерушА | ירושה  
полиморфизм | полиморфИзм | פולימורפיזם  
инкапсуляция | инкапсулАция | אינקפסולציה  
абстракция | афштАна | הפשטה  
пакет | хавилА | חבילה  
импорт | йевУ | יבוא  
цикл | лулаА | לולאה  
условие | танАй | תנאי  
оператор | оперАтор | אופרטור  
аргумент | аргумЕнт | ארגומנט  
возвращаемое значение | эрех хазара | ערך חזרה  
конструктор | бонЕ | בונה  
параметр | параметЕр | פרמטר  
экземпляр | мофА | מופע  
публичный | пумбИ | פומבי  
приватный | пратИ | פרטי  
защищенный | мугАн | מוגן  
статический | статИ | סטטי  
перегрузка | о́мес | עומס  
переопределение | нитУв | ניתוב  
исключение | харигА | חריגה  
строка | махрОзет | מחרוזת  
число | миспАр | מספר  
массив | маарАх | מערך
список | решимА | רשימה  
множество | Осеф | אוסף  
карта | мафтахОт | מפתחות  
коллекция | колЕкция | אוסף  
итератор | хозЕр | חוזר  
цикл for | лулаА фор | לולאת for  
цикл while | лулаА вАйл | לולאת while  
цикл do while | лулаА ду вАйл | לולאת do while  
условный оператор | мафъИль танАй | מפעיל תנאי  
блок | блОк | בלוק  
декларация | ацхарА | הצהרה  
инициализация | иту́л | אתחול  
компиляция | хидУр | הידור  
интерпретация | паршанУт | פרשנות  
отладка | нипУй | ניפוי  
логирование | ришУм | רישום  
тестирование | бдика́ | בדיקה  
модуль | мОдул | מודול  
функция | фУнкция | פונקציה  
библиотека | сифрИя | ספרייה  
файл | кУвец | קובץ  
поток | зЕрм | זרם  
ввод | кЕлет | קלט  
вывод | пЕлет | פלט  
рекурсия | рекурсИя | רקורסיה  
ошибка | шгИа | שגיאה  
значение | эрЕх | ערך  
тип данных | сУг нетонИм | סוג נתונים  
переполнение | глиша́ | גלישה  
управление памятью | нИуль зикАрОн | ניהול זיכרון  
глобальный | глобАли | גלובלי  
локальный | мекомИ | מקומי  
поток выполнения | зЕрм бециюА | זרם ביצוע  
критическая секция | миктА критИ | מקטע קריטי  
синхронизация | синхрУн | סנכרון  
блокировка | неИла | נעילה  
открытый ключ | мафтах цИбури | מפתח ציבורי  
закрытый ключ | мафтах пратИ | מפתח פרטי  
сертификат | ишур | אישור  
шифрование | хацпанА | הצפנה  
дешифрование | пеанУах | פענוח  
подпись | хатимА | חתימה  
идентификация | зиhУй | זיהוי  
аутентификация | имУт | אימות  
авторизация | hаршаА | הרשאה  
сессия | мошАв | מושב  
соединение | хибУр | חיבור  
протокол | протокОл | פרוטוקול  
интерфейс пользователя | мимшАк мештамЕш | ממשק משתמש  
